tabla,conf,STATUS IMPLANTATION,version,uuaa,unique parameters,params,,,,unique parameters,params
t_b0hn_sust_groups_fdbk,B0HN_sust-groups-fdbk_KCOG_currency_MMRule.conf,DELIVERED,18.3.3,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_6: Columna del catálogo local 
CATALOG_CODE_6: Filtrado del catálogo local
CATALOG_PATH_6: Ruta del catálogo local
CATALOG_SCHEMA_6: Esquema de la tabla local",", CATALOG_COLUMN_6, CATALOG_CODE_6, CATALOG_PATH_6, CATALOG_SCHEMA_6"
t_b0hn_sust_groups_fdbk,B0HN_sust-groups-fdbk_KCOG_entity_MMRule.conf,DELIVERED,18.3.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_7: Columna del catálogo local 
CATALOG_CODE_7: Filtrado del catálogo local
CATALOG_PATH_7: Ruta del catálogo local
CATALOG_SCHEMA_7: Esquema de la tabla local",", CATALOG_COLUMN_7, CATALOG_CODE_7, CATALOG_PATH_7, CATALOG_SCHEMA_7"
t_b0hn_sust_groups_fdbk,B0HN_sust-groups-fdbk_MRField.conf,DELIVERED,15.1.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_8: Columna del catálogo local 
CATALOG_CODE_8: Filtrado del catálogo local
CATALOG_PATH_8: Ruta del catálogo local
CATALOG_SCHEMA_8: Esquema de la tabla local",", CATALOG_COLUMN_8, CATALOG_CODE_8, CATALOG_PATH_8, CATALOG_SCHEMA_8"
t_b0hn_sust_groups_fdbk,B0HN_sust-groups-fdbk_MRField.conf,DELIVERED,18.3.3,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_9: Columna del catálogo local 
CATALOG_CODE_9: Filtrado del catálogo local
CATALOG_PATH_9: Ruta del catálogo local
CATALOG_SCHEMA_9: Esquema de la tabla local",", CATALOG_COLUMN_9, CATALOG_CODE_9, CATALOG_PATH_9, CATALOG_SCHEMA_9"
t_b0hn_sust_groups_fdbk,B0HN_sust-groups-fdbk_MRObject.conf,DELIVERED,15.1.0,B0HN,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_10: Columna del catálogo local 
CATALOG_CODE_10: Filtrado del catálogo local
CATALOG_PATH_10: Ruta del catálogo local
CATALOG_SCHEMA_10: Esquema de la tabla local",", CATALOG_COLUMN_10, CATALOG_CODE_10, CATALOG_PATH_10, CATALOG_SCHEMA_10"
t_b0hn_sust_groups_fdbk_detail,B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,DELIVERED,18.3.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_11: Columna del catálogo local 
CATALOG_CODE_11: Filtrado del catálogo local
CATALOG_PATH_11: Ruta del catálogo local
CATALOG_SCHEMA_11: Esquema de la tabla local",", CATALOG_COLUMN_11, CATALOG_CODE_11, CATALOG_PATH_11, CATALOG_SCHEMA_11"
t_b0hn_sust_groups_fdbk_detail,B0HN_sust-groups-fdbk-detail_MRField.conf,DELIVERED,15.1.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data 
FECHA_VOLUMETRIC: Date of values to compare with 
LOWER_BOUND: Lower percentage bound 
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND"
t_b0hn_sust_groups_fdbk_detail,B0HN_sust-groups-fdbk-detail_MRField.conf,DELIVERED,18.3.3,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data 
FECHA_VOLUMETRIC: Date of values to compare with 
LOWER_BOUND: Lower percentage bound 
UPPER_BOUND: Upper percentage bound 
6.9IS_CRITICAL: Optional parameter to disable the criticality of the 6.9 rule","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND, 6.9IS_CRITICAL"
t_b0hn_sust_groups_fdbk_detail,B0HN_sust-groups-fdbk-detail_MRObject.conf,DELIVERED,15.1.0,B0HN,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",,,,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen","CUTOFF_DATE, OPERATION_DATE"
t_b0hn_toolkit_esg_group_output,B0HN_toolkit-esg-group-output_MRField.conf,DELIVERED,15.1.0,B0HN,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen
PREVIOUS_CUTOFF_DATE: Previous date to be compared","CUTOFF_DATE, OPERATION_DATE, PREVIOUS_CUTOFF_DATE"
t_b0hn_toolkit_esg_group_output,B0HN_toolkit-esg-group-output_MRField.conf,DELIVERED,15.1.0,B0HN,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository","CUTOFF_DATE, extralibs",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_PATH_0: Ruta del catálogo local
CATALOG_SCHEMA_0:  Esquema de la tabla local","CUTOFF_DATE, CATALOG_COLUMN_0, CATALOG_CODE_0, CATALOG_PATH_0, CATALOG_SCHEMA_0"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_KBTQ_customer-info_MMRule.conf,DELIVERED,18.3.0,CGJ7,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_PATH_1: Ruta del catálogo local
CATALOG_SCHEMA_1: Esquema de la tabla local",", CATALOG_COLUMN_1, CATALOG_CODE_1, CATALOG_PATH_1, CATALOG_SCHEMA_1"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_KCOG_country_MMRule.conf,DELIVERED,18.3.3,CGJ7,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
PREVIOUS_CUTOFF_DATE: Previous date to be compared","CUTOFF_DATE, PREVIOUS_CUTOFF_DATE"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_KCOG_country_MMRule.conf,DELIVERED,18.3.0,CGJ7,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_PATH_1: Ruta del catálogo local
CATALOG_SCHEMA_1:  Esquema de la tabla local",", CATALOG_COLUMN_1, CATALOG_CODE_1, CATALOG_PATH_1, CATALOG_SCHEMA_1"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_KCOG_entity_MMRule.conf,DELIVERED,18.3.0,CGJ7,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_PATH_0: Ruta del catálogo local
CATALOG_SCHEMA_0: Esquema de la tabla local","CUTOFF_DATE, CATALOG_COLUMN_0, CATALOG_CODE_0, CATALOG_PATH_0, CATALOG_SCHEMA_0"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_MRField.conf,DELIVERED,15.1.0,CGJ7,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository","CUTOFF_DATE, PREVIOUS_CUTOFF_DATE, extralibs",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_0: Columna del catálogo local 
     CATALOG_CODE_0: Filtrado del catálogo local
     CATALOG_SCHEMA_0:  Esquema de la tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository","CUTOFF_DATE, CATALOG_COLUMN_0, CATALOG_CODE_0, CATALOG_PATH_0, CATALOG_SCHEMA_0, extralibs"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_MRField.conf,DELIVERED,18.3.3,CGJ7,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_1: Columna del catálogo local 
     CATALOG_CODE_1: Filtrado del catálogo local
     CATALOG_SCHEMA_1:  Esquema de la tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository",", CATALOG_COLUMN_1, CATALOG_CODE_1, CATALOG_PATH_1, CATALOG_SCHEMA_1, extralibs"
t_cgj7_customer_carbon_footprint,CGJ7_customer-carbon-footprint_MRObject.conf,DELIVERED,15.1.0,CGJ7,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_2: Columna del catálogo local 
     CATALOG_CODE_2: Filtrado del catálogo local
     CATALOG_SCHEMA_2:  Esquema de la tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository",", CATALOG_COLUMN_2, CATALOG_CODE_2, CATALOG_PATH_2, CATALOG_SCHEMA_2, extralibs"
t_cgj7_sust_customer_mark,CGJ7_sust-customer-mark_MRField.conf,DELIVERED,18.3.3,CGJ7,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' ""","CUTOFF_DATE, SOURCE_LIST",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_3: Columna del catálogo local 
     CATALOG_CODE_3: Filtrado del catálogo local
     CATALOG_SCHEMA_3:  Esquema de la tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository",", CATALOG_COLUMN_3, CATALOG_CODE_3, CATALOG_PATH_3, CATALOG_SCHEMA_3, extralibs"
t_cgj7_sust_customer_mark,CGJ7_sust-customer-mark_MRField.conf,DELIVERED,18.4.0,CGJ7,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' ""","CUTOFF_DATE, SOURCE_LIST",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_4: Columna del catálogo local 
     CATALOG_CODE_4: Filtrado del catálogo local
     CATALOG_SCHEMA_4:  Esquema de la tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository",", CATALOG_COLUMN_4, CATALOG_CODE_4, CATALOG_PATH_4, CATALOG_SCHEMA_4, extralibs"
t_cgj7_sust_customer_mark,CGJ7_sust-customer-mark_MRField.conf,DELIVERED,18.3.7,CGJ7,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' ""","CUTOFF_DATE, SOURCE_LIST",,,,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_5: Columna del catálogo local 
     CATALOG_CODE_5: Filtrado del catálogo local
     CATALOG_SCHEMA_5:  Esquema de la tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository",", CATALOG_COLUMN_5, CATALOG_CODE_5, CATALOG_PATH_5, CATALOG_SCHEMA_5, extralibs"
t_cgj7_sust_customer_mark,CGJ7_sust-customer-mark_MRObject.conf,DELIVERED,18.3.3,CGJ7,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' ""","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND, SOURCE_LIST",,,,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_KMOL_account-movements_MMRule.conf,DELIVERED,18.3.0,CMOV,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
PREVIOUS_CUTOFF_DATE: Previous date to be compared","CUTOFF_DATE, PREVIOUS_CUTOFF_DATE"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_KMOL_card-movements_MMRule.conf,DELIVERED,18.3.0,CMOV,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe.","CLOSING_DATE, ADOBE_REPORT_SUITE_NAME"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CLOSING_DATE: Closing date of the data 
DATE_VOLUMETRIC: Closing date of values to compare with
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe. 
LOWER_BOUND: Lower percentage bound 
UPPER_BOUND: Upper percentage bound","CLOSING_DATE, DATE_VOLUMETRIC, ADOBE_REPORT_SUITE_NAME, LOWER_BOUND, UPPER_BOUND"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,18.4.4,CMOV,CUTOFF_DATE: Date of the data,CUTOFF_DATE,,,,"CUTOFF_DATE: Date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe.","CUTOFF_DATE, ADOBE_REPORT_SUITE_NAME"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local",", CATALOG_COLUMN_0, CATALOG_CODE_0, CATALOG_TABLE_0",,,,"CUTOFF_DATE: Date of the data 
FECHA_VOLUMETRIC: Closing date of values to compare with
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe. 
LOWER_BOUND: Lower percentage bound 
UPPER_BOUND: Upper percentage bound","CLOSING_DATE, FECHA_VOLUMETRIC, ADOBE_REPORT_SUITE_NAME, LOWER_BOUND, UPPER_BOUND"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local",", CATALOG_COLUMN_1, CATALOG_CODE_1, CATALOG_TABLE_1",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_PATH_2: Ruta del catálogo local
CATALOG_SCHEMA_2:  Esquema de la tabla local",", CATALOG_COLUMN_2, CATALOG_CODE_2, CATALOG_PATH_2, CATALOG_SCHEMA_2"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local",", CATALOG_COLUMN_2, CATALOG_CODE_2, CATALOG_TABLE_2",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_PATH_3: Ruta del catálogo local
CATALOG_SCHEMA_3:  Esquema de la tabla local",", CATALOG_COLUMN_3, CATALOG_CODE_3, CATALOG_PATH_3, CATALOG_SCHEMA_3"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_TABLE_3: Nombre de tabla local",", CATALOG_COLUMN_3, CATALOG_CODE_3, CATALOG_TABLE_3",,,,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (g_data_source_origin_type)","CUTOFF_DATE, SOURCE"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_4: Columna del catálogo local 
CATALOG_CODE_4: Filtrado del catálogo local
CATALOG_TABLE_4: Nombre de tabla local",", CATALOG_COLUMN_4, CATALOG_CODE_4, CATALOG_TABLE_4",,,,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_PATH_2: Ruta del catálogo local
CATALOG_SCHEMA_2: Esquema de la tabla local",", CATALOG_COLUMN_2, CATALOG_CODE_2, CATALOG_PATH_2, CATALOG_SCHEMA_2"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_5: Columna del catálogo local 
CATALOG_CODE_5: Filtrado del catálogo local
CATALOG_TABLE_5: Nombre de tabla local",", CATALOG_COLUMN_5, CATALOG_CODE_5, CATALOG_TABLE_5",,,,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound
SOURCE: Origin of data (g_data_source_origin_type)","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND, SOURCE"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_6: Columna del catálogo local 
CATALOG_CODE_6: Filtrado del catálogo local
CATALOG_TABLE_6: Nombre de tabla local",", CATALOG_COLUMN_6, CATALOG_CODE_6, CATALOG_TABLE_6",,,,"CUTOFF_DATE: Date of the data
BILLING_AGR_PRODUCT_ID: Billing grouping product identifier","CUTOFF_DATE, BILLING_AGR_PRODUCT_ID"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_7: Columna del catálogo local 
CATALOG_CODE_7: Filtrado del catálogo local
CATALOG_TABLE_7: Nombre de tabla local",", CATALOG_COLUMN_7, CATALOG_CODE_7, CATALOG_TABLE_7",,,,BILLING_AGR_PRODUCT_ID: Billing grouping product identifier,BILLING_AGR_PRODUCT_ID
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_8: Columna del catálogo local 
CATALOG_CODE_8: Filtrado del catálogo local
CATALOG_TABLE_8: Nombre de tabla local",", CATALOG_COLUMN_8, CATALOG_CODE_8, CATALOG_TABLE_8",,,,"CUTOFF_DATE: Date of the data
SCHEMA_COUNTRY: Country to be deployed
SCHEMA_VERSION_MASTER: Version to be deployed
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound","CUTOFF_DATE, SCHEMA_COUNTRY, SCHEMA_VERSION_MASTER, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_9: Columna del catálogo local 
CATALOG_CODE_9: Filtrado del catálogo local
CATALOG_TABLE_9: Nombre de tabla local",", CATALOG_COLUMN_9, CATALOG_CODE_9, CATALOG_TABLE_9",,,,"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_id)","CUTOFF_DATE, SOURCE"
t_cmov_bbva_categorized_mov,CMOV_bbva-categorized-mov_MRField.conf,DELIVERED,15.1.0,CMOV,"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_10: Columna del catálogo local 
CATALOG_CODE_10: Filtrado del catálogo local
CATALOG_TABLE_10: Nombre de tabla local",", CATALOG_COLUMN_10, CATALOG_CODE_10, CATALOG_TABLE_10",,,,"CUTOFF_DATE: Date of the data 
FECHA_VOLUMETRIC: Date of values to compare with 
LOWER_BOUND: Lower percentage bound 
UPPER_BOUND: Upper percentage bound
SOURCE: Origin of data (gf_information_source_id)","CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND, SOURCE"
